ID,Sales Segment,Global Region,Industry,Booking Date Date,Lead Source,Type,Reporting Type Reason,Stage Name,Source,Number of Employees,Is Customer (Yes / No),Created Date,Tenure Months,Total ARR
1,Enterprise,NA,Internet Software & Services,2024-06-27,Website,New Deal,New,Disqualified,Website,"10,001",Yes,2019-05-14,15 Months,$0.00
2,Enterprise,NA,Internet Software & Services,2020-09-30,SalesLoft,New Deal,New,Closed Lost,SalesLoft,"3,100",No,2018-04-27,15 Months,$0.00
3,Emerging,NA,,2020-07-31,,New Deal,New,Closed Lost,,,No,2019-03-22,47 Months,$102K
4,Emerging,NA,,2020-06-30,,New Deal,New,Closed Lost,,,No,2019-11-27,47 Months,$11K
5,Emerging,NA,Business Services,2020-06-30,,New Deal,New,Closed Lost,,,No,2019-10-23,47 Months,$8K
6,Enterprise,NA,Real Estate,2020-06-30,Partner,New Deal,New,Closed Lost,Partner,"10,000",No,2017-10-16,15 Months,$8K
7,SMB,NA,Professional Services,2020-05-31,Outbound,New Deal,New,Closed Lost,Outbound,240,No,2019-12-12,47 Months,$12K
8,SMB,NA,Consumer Goods,2020-05-31,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,190,No,2019-09-12,47 Months,$8K
9,SMB,EMEA,Internet Software & Services,2020-05-31,Web,New Deal,New,Closed Lost,Web,64,No,2019-10-15,58 Months,$16K
10,SMB,EMEA,Internet Software & Services,2020-05-31,Data Vendor,New Deal,New,Closed Lost,Data Vendor,45,No,2019-11-06,47 Months,$60K
11,Enterprise,NA,Diversified Telecommunication Services,2020-05-29,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,250,No,2019-12-11,47 Months,$8K
12,Emerging,EMEA,Technology,2020-05-27,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,90,No,2019-09-06,11 Months,$44K
13,Emerging,NA,,2020-05-01,Phone Inquiry,New Deal,New,Closed Lost,Phone Inquiry,,No,2019-10-17,4 Months,$8K
14,SMB,EMEA,Internet Software & Services,2020-05-01,,New Deal,New,Closed Lost,,79,No,2019-10-30,11 Months,$30K
15,SMB,NA,Internet Software & Services,2020-05-01,,New Deal,New,Closed Lost,,120,No,2020-01-15,47 Months,$21K
16,SMB,NA,Internet Software & Services,2020-05-01,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,144,No,2019-12-19,47 Months,$17K
17,SMB,NA,Technology,2020-04-30,Data Vendor,New Deal,New,Closed Lost,Data Vendor,49,No,2019-07-23,7 Months,$0.00
18,Emerging,NA,Business Services,2020-04-30,,New Deal,New,Closed Lost,,57,No,2020-01-31,47 Months,$2K
19,Emerging,NA,Professional Services,2020-04-30,,Upgrade,Upgrade,Closed Won,,60,Yes,2019-06-12,47 Months,$0.00
20,Enterprise,NA,Professional Services,2020-04-30,,New Deal,New,Closed Lost,,0,No,2018-05-22,15 Months,$0.00
21,Mid-Market,NA,Internet Software & Services,2020-04-30,,Upgrade,Upgrade,Closed Lost,,"1,189",Yes,2019-09-16,60 Months,$27K
22,SMB,NA,Internet Software & Services,2020-04-30,,New Deal,New,Closed Lost,,563,No,2019-11-04,7 Months,$8K
23,Emerging,NA,Internet Software & Services,2020-04-30,,Upgrade,Upgrade,Closed Lost,,35,Yes,2019-12-20,60 Months,$7K
24,Emerging,NA,,2020-04-30,Website,New Deal,New,Closed Lost,Website,,No,2019-11-19,47 Months,$10K
25,Emerging,EMEA,Internet Software & Services,2020-04-30,,Upgrade,Upgrade,Closed Lost,,10,Yes,2019-11-15,11 Months,$1K
26,SMB,APAC,Internet Software & Services,2020-04-30,,New Deal,New,Closed Lost,,34,No,2018-08-06,15 Months,$0.00
27,Emerging,EMEA,Corporate Services,2020-04-21,Data Vendor,New Deal,,Closed Lost,Data Vendor,130,No,2019-09-03,11 Months,$27K
28,Emerging,EMEA,Internet Software & Services,2020-04-17,Datahug,New Deal,New,Closed Lost,Datahug,30,No,2019-11-08,11 Months,$20K
29,Emerging,NA,,2020-04-15,,New Deal,New,Disqualified,,,No,2020-01-16,11 Months,$5K
30,Emerging,NA,Renewable Electricity,2020-04-14,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,50,No,2019-10-10,47 Months,$13K
31,Emerging,NA,Internet Software & Services,2020-04-05,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-02-13,60 Months,$3K
32,SMB,NA,Internet Software & Services,2020-04-01,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,447,No,2020-01-02,39 Months,$16K
33,Enterprise,NA,Professional Services,2020-04-01,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,150,Yes,2019-07-12,15 Months,$8K
34,SMB,NA,Computer Software,2020-04-01,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-02-21,47 Months,$0.00
